Timestamp,SilenceDetected
0.0,1
0.02,1
0.04,1
0.06,1
0.08,1
0.1,1
0.12,1
0.14,1
0.16,1
0.18,1
0.2,1
0.22,1
0.24,1
0.26,1
0.28,1
0.3,1
0.32,1
0.34,1
0.36,1
0.38,1
0.4,1
0.42,1
0.44,1
0.46,1
0.48,1
0.5,1
0.52,1
0.54,1
0.56,1
0.58,1
0.6,1
0.62,1
0.64,1
0.66,1
0.68,1
0.7,1
0.72,1
0.74,1
0.76,1
0.78,1
0.8,1
0.82,1
0.84,1
0.86,1
0.88,1
0.9,1
0.92,1
0.94,1
0.96,1
0.98,1
1.0,1
1.02,1
1.04,1
1.06,1
1.08,1
1.1,1
1.12,1
1.14,1
1.16,1
1.18,1
1.2,1
1.22,1
1.24,1
1.26,1
1.28,1
1.3,1
1.32,1
1.34,1
1.36,1
1.38,1
1.4,1
1.42,1
1.44,1
1.46,1
1.48,1
1.5,1
1.52,1
1.54,1
1.56,1
1.58,1
1.6,1
1.62,1
1.64,1
1.66,1
1.68,1
1.7,1
1.72,1
1.74,1
1.76,1
1.78,1
1.8,1
1.82,1
1.84,1
1.86,1
1.88,1
1.9,1
1.92,1
1.94,1
1.96,1
1.98,1
2.0,1
2.02,1
2.04,1
2.06,1
2.08,1
2.1,1
2.12,1
2.14,1
2.16,1
2.18,1
2.2,1
2.22,1
2.24,1
2.26,1
2.28,1
2.3,1
2.32,1
2.34,1
2.36,1
2.38,1
2.4,1
2.42,1
2.44,1
2.46,1
2.48,1
2.5,1
2.52,1
2.54,1
2.56,1
2.58,1
2.6,1
2.62,1
2.64,1
2.66,1
2.68,1
2.7,1
2.72,1
2.74,1
2.76,1
2.78,1
2.8,1
2.82,1
2.84,1
2.86,1
2.88,1
2.9,1
2.92,1
2.94,1
2.96,1
2.98,1
3.0,1
3.02,1
3.04,1
3.06,1
3.08,1
3.1,1
3.12,1
3.14,1
3.16,1
3.18,1
3.2,1
3.22,1
3.24,1
3.26,1
3.28,1
3.3,1
3.32,1
3.34,1
3.36,1
3.38,1
3.4,1
3.42,1
3.44,1
3.46,1
3.48,1
3.5,1
3.52,1
3.54,1
3.56,1
3.58,1
3.6,1
3.62,1
3.64,1
3.66,1
3.68,1
3.7,1
3.72,1
3.74,1
3.76,1
3.78,1
3.8,1
3.82,1
3.84,1
3.86,1
3.88,1
3.9,1
3.92,1
3.94,1
3.96,1
3.98,1
4.0,1
4.02,1
4.04,1
4.06,1
4.08,1
4.1,1
4.12,1
4.14,1
4.16,1
4.18,1
4.2,1
4.22,1
4.24,1
4.26,1
4.28,1
4.3,1
4.32,1
4.34,1
4.36,1
4.38,1
4.4,1
4.42,1
4.44,1
4.46,1
4.48,1
4.5,1
4.52,1
4.54,1
4.56,1
4.58,1
4.6,1
4.62,1
4.64,1
4.66,1
4.68,1
4.7,1
4.72,1
4.74,1
4.76,1
4.78,1
4.8,1
4.82,1
4.84,1
4.86,1
4.88,1
4.9,1
4.92,1
4.94,1
4.96,1
4.98,1
5.0,1
5.02,1
5.04,1
5.06,1
5.08,1
5.1,1
5.12,1
5.14,1
5.16,1
5.18,1
5.2,1
5.22,1
5.24,1
5.26,1
5.28,1
5.3,1
5.32,1
5.34,1
5.36,1
5.38,1
5.4,1
5.42,1
5.44,1
5.46,1
5.48,1
5.5,1
5.52,1
5.54,1
5.56,1
5.58,1
5.6,1
5.62,1
5.64,1
5.66,1
5.68,1
5.7,1
5.72,1
5.74,1
5.76,1
5.78,1
5.8,1
5.82,1
5.84,1
5.86,1
5.88,1
5.9,1
5.92,1
5.94,1
5.96,1
5.98,1
6.0,1
6.02,1
6.04,1
6.06,1
6.08,1
6.1,1
6.12,1
6.14,1
6.16,1
6.18,1
6.2,1
6.22,1
6.24,1
6.26,1
6.28,1
6.3,1
6.32,1
6.34,1
6.36,1
6.38,1
6.4,1
6.42,1
6.44,1
6.46,1
6.48,1
6.5,1
6.52,1
6.54,1
6.56,1
6.58,1
6.6,1
6.62,1
6.64,1
6.66,1
6.68,1
6.7,1
6.72,1
6.74,1
6.76,1
6.78,1
6.8,1
6.82,1
6.84,1
6.86,1
6.88,1
6.9,1
6.92,1
6.94,1
6.96,1
6.98,1
7.0,1
7.02,1
7.04,1
7.06,1
7.08,1
7.1,1
7.12,1
7.14,1
7.16,1
7.18,1
7.2,1
7.22,1
7.24,1
7.26,1
7.28,1
7.3,1
7.32,1
7.34,1
7.36,1
7.38,1
7.4,1
7.42,1
7.44,1
7.46,1
7.48,1
7.5,1
7.52,1
7.54,1
7.56,1
7.58,1
7.6,1
7.62,1
7.64,1
7.66,1
7.68,1
7.7,1
7.72,1
7.74,1
7.76,1
7.78,1
7.8,1
7.82,1
7.84,1
7.86,1
7.88,1
7.9,1
7.92,1
7.94,1
7.96,1
7.98,1
8.0,1
8.02,1
8.04,1
8.06,1
8.08,1
8.1,1
8.12,1
8.14,1
8.16,1
8.18,1
8.2,1
8.22,1
8.24,1
8.26,1
8.28,1
8.3,1
8.32,1
8.34,1
8.36,1
8.38,1
8.4,1
8.42,1
8.44,1
8.46,1
8.48,1
8.5,1
8.52,1
8.54,1
8.56,1
8.58,1
8.6,1
8.62,1
8.64,1
8.66,1
8.68,1
8.7,1
8.72,1
8.74,1
8.76,1
8.78,1
8.8,1
8.82,1
8.84,1
8.86,1
8.88,1
8.9,1
8.92,1
8.94,1
8.96,1
8.98,1
9.0,1
9.02,1
9.04,1
9.06,1
9.08,1
9.1,1
9.12,1
9.14,1
9.16,1
9.18,1
9.2,1
9.22,1
9.24,1
9.26,1
9.28,1
9.3,1
9.32,1
9.34,1
9.36,1
9.38,1
9.4,1
9.42,1
9.44,1
9.46,1
9.48,1
9.5,1
9.52,1
9.54,1
9.56,1
9.58,1
9.6,1
9.62,1
9.64,1
9.66,1
9.68,1
9.7,1
9.72,1
9.74,1
9.76,1
9.78,1
9.8,1
9.82,1
9.84,1
9.86,1
9.88,1
9.9,1
9.92,1
9.94,1
9.96,1
9.98,1
10.0,1
10.02,1
10.04,1
10.06,1
10.08,1
10.1,1
10.12,1
10.14,1
10.16,1
10.18,1
10.2,1
10.22,1
10.24,1
10.26,1
10.28,1
10.3,1
10.32,1
10.34,1
10.36,1
10.38,1
10.4,1
10.42,1
10.44,1
10.46,1
10.48,1
10.5,1
10.52,1
10.54,1
10.56,1
10.58,1
10.6,1
10.62,1
10.64,1
10.66,1
10.68,1
10.7,1
10.72,1
10.74,1
10.76,1
10.78,1
10.8,1
10.82,1
10.84,1
10.86,1
10.88,1
10.9,1
10.92,1
10.94,1
10.96,1
10.98,1
11.0,1
11.02,1
11.04,1
11.06,1
11.08,1
11.1,1
11.12,1
11.14,1
11.16,1
11.18,1
11.2,1
11.22,1
11.24,1
11.26,1
11.28,1
11.3,1
11.32,1
11.34,1
11.36,1
11.38,1
11.4,1
11.42,1
11.44,1
11.46,1
11.48,1
11.5,1
11.52,1
11.54,1
11.56,1
11.58,1
11.6,1
11.62,1
11.64,1
11.66,1
11.68,1
11.7,1
11.72,1
11.74,1
11.76,1
11.78,1
11.8,1
11.82,1
11.84,1
11.86,1
11.88,1
11.9,1
11.92,1
11.94,1
11.96,1
11.98,1
12.0,1
12.02,1
12.04,1
12.06,1
12.08,1
12.1,1
12.12,1
12.14,1
12.16,1
12.18,1
12.2,1
12.22,1
12.24,1
12.26,1
12.28,1
12.3,1
12.32,1
12.34,1
12.36,1
12.38,1
12.4,1
12.42,1
12.44,1
12.46,1
12.48,1
12.5,1
12.52,1
12.54,1
12.56,1
12.58,1
12.6,1
12.62,1
12.64,1
12.66,1
12.68,1
12.7,1
12.72,1
12.74,1
12.76,1
12.78,1
12.8,1
12.82,1
12.84,1
12.86,1
12.88,1
12.9,1
12.92,1
12.94,1
12.96,1
12.98,1
13.0,1
13.02,1
13.04,1
13.06,1
13.08,1
13.1,1
13.12,1
13.14,1
13.16,1
13.18,1
13.2,1
13.22,1
13.24,1
13.26,1
13.28,1
13.3,1
13.32,1
13.34,1
13.36,1
13.38,1
13.4,1
13.42,1
13.44,1
13.46,1
13.48,1
13.5,1
13.52,1
13.54,1
13.56,1
13.58,1
13.6,1
13.62,1
13.64,1
13.66,1
13.68,1
13.7,1
13.72,1
13.74,1
13.76,1
13.78,1
13.8,1
13.82,1
13.84,1
13.86,1
13.88,1
13.9,1
13.92,1
13.94,1
13.96,1
13.98,1
14.0,1
14.02,1
14.04,1
14.06,1
14.08,1
14.1,1
14.12,1
14.14,1
14.16,1
14.18,1
14.2,1
14.22,1
14.24,1
14.26,1
14.28,1
14.3,1
14.32,1
14.34,1
14.36,1
14.38,1
14.4,1
14.42,1
14.44,1
14.46,1
14.48,1
14.5,1
14.52,1
14.54,1
14.56,1
14.58,1
14.6,1
14.62,1
14.64,1
14.66,1
14.68,1
14.7,1
14.72,1
14.74,1
14.76,1
14.78,1
14.8,1
14.82,1
14.84,1
14.86,1
14.88,1
14.9,1
14.92,1
14.94,1
14.96,1
14.98,1
15.0,1
15.02,1
15.04,1
15.06,1
15.08,1
15.1,1
15.12,1
15.14,1
15.16,1
15.18,1
15.2,1
15.22,1
15.24,1
15.26,1
15.28,1
15.3,1
15.32,1
15.34,1
15.36,1
15.38,1
15.4,1
15.42,1
15.44,1
15.46,1
15.48,1
15.5,1
15.52,1
15.54,1
15.56,1
15.58,1
15.6,1
15.62,1
15.64,1
15.66,1
15.68,1
15.7,1
15.72,1
15.74,1
15.76,1
15.78,1
15.8,1
15.82,1
15.84,1
15.86,1
15.88,1
15.9,1
15.92,1
15.94,1
15.96,1
15.98,1
16.0,1
16.02,1
16.04,1
16.06,1
16.08,1
16.1,1
16.12,1
16.14,1
16.16,1
16.18,1
16.2,1
16.22,1
16.24,1
16.26,1
16.28,1
16.3,1
16.32,1
16.34,1
16.36,1
16.38,1
16.4,1
16.42,1
16.44,1
16.46,1
16.48,1
16.5,1
16.52,1
16.54,1
16.56,1
16.58,1
16.6,1
16.62,1
16.64,1
16.66,1
16.68,1
16.7,1
16.72,1
16.74,1
16.76,1
16.78,1
16.8,1
16.82,1
16.84,1
16.86,1
16.88,1
16.9,1
16.92,1
16.94,1
16.96,1
16.98,1
17.0,1
17.02,1
17.04,1
17.06,1
17.08,1
17.1,1
17.12,1
17.14,1
17.16,1
17.18,1
17.2,1
17.22,1
17.24,1
17.26,1
17.28,1
17.3,1
17.32,1
17.34,1
17.36,1
17.38,1
17.4,1
17.42,1
17.44,1
17.46,1
17.48,1
17.5,1
17.52,1
17.54,1
17.56,1
17.58,1
17.6,1
17.62,1
17.64,1
17.66,1
17.68,1
17.7,1
17.72,1
17.74,1
17.76,1
17.78,1
17.8,1
17.82,1
17.84,1
17.86,1
17.88,1
17.9,1
17.92,1
17.94,1
17.96,1
17.98,1
18.0,1
18.02,1
18.04,1
18.06,1
18.08,1
18.1,1
18.12,1
18.14,1
18.16,1
18.18,1
18.2,1
18.22,1
18.24,1
18.26,1
18.28,1
18.3,1
18.32,1
18.34,1
18.36,1
18.38,1
18.4,1
18.42,1
18.44,1
18.46,1
18.48,1
18.5,1
18.52,1
18.54,1
18.56,1
18.58,1
18.6,1
18.62,1
18.64,1
18.66,1
18.68,1
18.7,1
18.72,1
18.74,1
18.76,1
18.78,1
18.8,1
18.82,1
18.84,1
18.86,1
18.88,1
18.9,1
18.92,1
18.94,1
18.96,1
18.98,1
19.0,1
19.02,1
19.04,1
19.06,1
19.08,1
19.1,1
19.12,1
19.14,1
19.16,1
19.18,1
19.2,1
19.22,1
19.24,1
19.26,1
19.28,1
19.3,1
19.32,1
19.34,1
19.36,1
19.38,1
19.4,1
19.42,1
19.44,1
19.46,1
19.48,1
19.5,1
19.52,1
19.54,1
19.56,1
19.58,1
19.6,1
19.62,1
19.64,1
19.66,1
19.68,1
19.7,1
19.72,1
19.74,1
19.76,1
19.78,1
19.8,1
19.82,1
19.84,1
19.86,1
19.88,1
19.9,1
19.92,1
